Material,Nylon
Geometry,Circular
"12.04300","0.20076","372.75798"
"12.14300","0.20241","373.99020"
"12.24300","0.20408","375.21644"
"12.34300","0.20575","376.59993"
"12.44300","0.20742","377.88588"
"12.54300","0.20908","379.12337"
"12.64300","0.21075","380.52574"
"12.74300","0.21242","381.82692"
"12.84300","0.21409","383.31505"
"12.94300","0.21575","384.61171"
"13.04300","0.21742","386.07003"
"13.14300","0.21908","387.67034"
"13.24300","0.22076","389.26634"
"13.34300","0.22241","390.55959"
"13.44300","0.22408","392.05518"
"13.54300","0.22575","393.59276"
"13.64300","0.22742","394.99979"
"13.74300","0.22909","396.48758"
"13.84300","0.23075","398.07952"
"13.94300","0.23242","399.70703"
"14.04300","0.23409","401.41702"
"14.14300","0.23575","402.80611"
"14.24300","0.23742","404.13663"
"14.34300","0.23908","405.57165"
"14.44300","0.24076","407.18577"
"14.54300","0.24242","408.60161"
"14.64300","0.24407","409.89226"
"14.74300","0.24575","410.96199"
"14.84300","0.24742","412.19572"
"14.94300","0.24909","413.30207"
"15.04300","0.25075","414.67117"
"15.14300","0.25241","415.85570"
"15.24300","0.25409","417.44212"
"15.34300","0.25576","418.31771"
"15.44300","0.25741","419.38656"
"15.54300","0.25908","420.89478"
"15.64300","0.26075","422.62958"
"15.74300","0.26242","424.33266"
"15.84300","0.26408","426.04924"
"15.94300","0.26575","427.79192"
"16.04300","0.26742","429.36850"
"16.14300","0.26908","430.67267"
"16.24300","0.27075","431.91033"
"16.34300","0.27241","432.96703"
"16.44300","0.27408","434.33507"
"16.54300","0.27575","435.72967"
"16.64300","0.27741","437.16656"
"16.74300","0.27908","438.69472"
"16.84300","0.28075","440.42099"
"16.94300","0.28242","442.17045"
"17.04300","0.28409","443.46422"
"17.14300","0.28574","444.42164"
"17.24300","0.28742","445.92313"
"17.34300","0.28909","447.24860"
"17.44300","0.29075","448.81315"
"17.54300","0.29241","449.96467"
"17.64300","0.29408","451.28193"
"17.74300","0.29576","452.20502"
"17.84300","0.29742","452.95195"
"17.94300","0.29908","453.61841"
"18.04300","0.30075","454.19226"
"18.14300","0.30242","454.68936"
"18.24300","0.30408","455.14628"
"18.34300","0.30573","455.81777"
"18.44300","0.30742","457.00336"
"18.54300","0.30909","457.76130"
"18.64300","0.31075","458.83833"
"18.74300","0.31241","459.72640"
"18.84300","0.31408","460.56395"
"18.94300","0.31575","461.54501"
"19.04300","0.31742","462.65825"
"19.14300","0.31908","464.13537"
"19.24300","0.32075","465.20425"
"19.34300","0.32242","466.23790"
"19.44300","0.32409","467.19427"
"19.54300","0.32574","468.04713"
"19.64300","0.32742","469.44340"
"19.74300","0.32909","470.91333"
"19.84300","0.33075","472.33601"
"19.94300","0.33242","473.75407"
"20.04300","0.33408","475.24069"
"20.14300","0.33575","476.80480"
"20.24300","0.33742","478.53121"
"20.34300","0.33908","479.82677"
"20.44300","0.34075","480.89296"
"20.54300","0.34242","482.06531"

